id,raw_address,parsed_street_number,parsed_pre_directional,parsed_street_name,parsed_street_suffix,parsed_unit,normalized_address
none-withers-street-unit-2a-brooklyn-ny-11211_0,Withers Street Unit 2A,,,Withers,ST,2A,WITHERS ST APT 2A
none-north-7th-street-unit-phb-brooklyn-ny-11211_0,North 7th Street Unit PHB,,N,7th,ST,,N 7TH ST
none-465-humboldt-street-none-williamsburg-ny-11211_0,465 Humboldt Street NaN,465,,Humboldt,ST,,465 HUMBOLDT ST
none-30-bushwick-avenue-unit-1a-brooklyn-ny-11211_0,30 Bushwick Avenue Unit 1A,30,,Bushwick,AVE,1A,30 BUSHWICK AVE APT 1A
none-251-253-north-8th-street-none-brooklyn-ny-11211_0,251-253 North 8th Street NaN,251-253,N,8th,ST,,251-253 N 8TH ST
none-30-bushwick-avenue-unit-4d-brooklyn-ny-11211_0,30 Bushwick Avenue Unit 4D,30,,Bushwick,AVE,4D,30 BUSHWICK AVE APT 4D
none-242-south-1st-street-unit-4e-brooklyn-ny-11211_0,242 South 1st Street Unit 4E,242,S,1st,ST,4E,242 S 1ST ST APT 4E
none-manhattan-avenue-unit-4r-brooklyn-ny-11211_0,Manhattan Avenue Unit 4R,,,Manhattan,AVE,4R,MANHATTAN AVE APT 4R
none-277-south-2nd-street-none-brooklyn-ny-11211_0,277 South 2nd Street NaN,277,S,2nd,ST,,277 S 2ND ST
none-764-metropolitan-avenue-unit-2b-brooklyn-ny-11211_0,764 Metropolitan Avenue Unit 2B,764,,Metropolitan,AVE,2B,764 METROPOLITAN AVE APT 2B
none-13-conselyea-street-none-brooklyn-ny-11211_0,13 Conselyea Street NaN,13,,Conselyea,ST,,13 CONSELYEA ST
none-withers-street-unit-2-brooklyn-ny-11211_0,Withers Street Unit 2,,,Withers,ST,2,WITHERS ST APT 2
none-323-south-5th-street-unit-2-brooklyn-ny-11211_0,323 South 5th Street Unit 2,323,S,5th,ST,2,323 S 5TH ST APT 2
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211_0,174 North 6th Street NaN,174,N,6th,ST,,174 N 6TH ST
none-skillman-avenue-unit-4f-brooklyn-ny-11211_0,Skillman Avenue Unit 4F,,,Skillman,AVE,4F,SKILLMAN AVE APT 4F
none-bushwick-avenue-unit-8b-brooklyn-ny-11211_0,Bushwick Avenue Unit 8B,,,Bushwick,AVE,8B,BUSHWICK AVE APT 8B
none-364-manhattan-avenue-unit-4g-brooklyn-ny-11211_0,364 Manhattan Avenue Unit 4G,364,,Manhattan,AVE,4G,364 MANHATTAN AVE APT 4G
